index,RANGE (%) (M),NATIONS (M)
10,10-11, 
9,9-10, :fr:  (9.6%)
8,8-9, :gb:  (8.4%)  :de:  (8.1%)
7,7-8, :australia:  (7.7%)  :es:  (7.0%)
6,6-7, :us:  (6.1%)
5,5-6, 
4,4-5, :new_zealand:  (4.6%)  :switzerland:  (4.6%)  :canada:  (4.4%)  :portugal:  (4.3%)
3,3-4, :ru:  (3.6%)  :south_africa:  (3.4%)
2,2-3, :jp:  (2.9%)  :belgium:  (2.9%)  :hungary:  (2.6%)  :it:  (2.4%)  :norway:  (2.4%)  :mexico:  (2.3%)
1,1-2, :brazil:  (1.7%)  :white_flag:  (1.4%)  :austria:  (1.1%)  :slovakia:  (1.1%)  :ireland:  (1.0%)  :israel:  (1.0%)
0,0-1, :kazakhstan:  (0.7%)  :azerbaijan:  (0.7%)  :denmark:  (0.7%)  :czech_republic:  (0.6%)  :ukraine:  (0.3%)  :costa_rica:  (0.3%)  :puerto_rico:  (0.3%)  :barbados:  (0.3%)  :netherlands:  (0.3%)  :argentina:  (0.3%)  :luxembourg:  (0.3%)  :poland:  (0.1%)  :colombia:  (0.1%)  :morocco:  (0.1%)  :chile:  (0.1%)
